Date : 2026-03-02 15:59:09
Directory : /Users/remidesbordes/Documents/Teams/TeamsServer_/src
Total : 138 files,  -721 codes, -87 comments, -259 blanks, all -1067 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        138 |       -721 |        -87 |       -259 |     -1,067 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Core/Services/AuthService.cpp                  | C++      |         46 |          1 |          7 |         54 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Core/Services/AuthService.h                    | C++      |         20 |         10 |          5 |         35 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Core/Services/WebRTCService.cpp                | C++      |          0 |          3 |          1 |          4 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Core/Services/WebRTCService.h                  | C++      |         17 |          5 |          6 |         28 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Handlers/AuthHandler.cpp                       | C++      |         86 |          0 |         16 |        102 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Handlers/AuthHandler.h                         | C++      |         25 |          8 |          7 |         40 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Handlers/HandlerTools.h                        | C++      |         20 |          7 |          6 |         33 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Handlers/WebRTCHandler.cpp                     | C++      |         69 |          1 |         15 |         85 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Handlers/WebRTCHandler.h                       | C++      |         29 |          5 |          8 |         42 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/Database/ConnectionPool.cpp     | C++      |         27 |          0 |          3 |         30 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/Database/ConnectionPool.h       | C++      |         14 |          9 |          5 |         28 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/Database/DatabaseManager.cpp    | C++      |         77 |         42 |         22 |        141 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Infrastructure/Database/DatabaseManager.h      | C++      |         23 |          8 |          8 |         39 |
